time,5117.battery,5117.maxbotix-mb7386-distance,5117.maxbotix-mb7386-trials,5118.battery,5118.rain-gauge-interval,5118.rain-gauge-precipitation,5118.rain-gauge-precipitation-sum
2020-03-20 09:59:24.175000-06:00,2.856,9999.0,0.0,,,,
2020-03-20 10:09:19.966000-06:00,2.856,9999.0,0.0,,,,
2020-03-20 10:29:15.261000-06:00,,,,2.917,600.0,0.0,6.5
2020-03-20 10:29:20.971000-06:00,2.856,9999.0,0.0,,,,
2020-03-20 10:39:14.779000-06:00,,,,2.917,600.0,0.0,6.5
2020-03-20 10:39:17.953000-06:00,2.858,9999.0,0.0,,,,
2020-03-20 12:19:14.476000-06:00,2.856,9999.0,0.0,,,,
2020-03-20 12:19:18.678000-06:00,,,,2.915,600.0,0.0,6.5
2020-03-20 12:29:17.183000-06:00,2.856,9999.0,0.0,,,,
2020-03-20 12:29:20.146000-06:00,,,,2.912,600.0,0.0,6.5
2020-03-20 12:39:16.865000-06:00,,,,2.915,600.0,0.0,6.5
2020-03-20 12:39:18.639000-06:00,2.856,500.0,0.0,,,,
2020-03-20 12:49:19.503000-06:00,2.856,500.0,0.0,,,,
2020-03-20 12:49:20.202000-06:00,,,,2.912,600.0,0.0,6.5
2020-03-20 12:59:12.889000-06:00,,,,2.912,600.0,0.0,6.5
2020-03-20 12:59:17.783000-06:00,2.856,500.0,0.0,,,,
2020-03-20 13:09:18.373000-06:00,2.856,500.0,0.0,,,,
2020-03-20 13:09:18.546000-06:00,,,,2.907,600.0,0.9,7.4
2020-03-20 13:19:15.837000-06:00,,,,2.907,600.0,0.0,7.4
2020-03-20 13:19:17.038000-06:00,2.856,500.0,0.0,,,,
2020-03-20 13:29:14.193000-06:00,,,,2.907,600.0,0.0,7.4
2020-03-20 13:29:18.875000-06:00,2.856,500.0,0.0,,,,
2020-03-20 13:39:12.920000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 13:39:16.038000-06:00,2.856,500.0,0.0,,,,
2020-03-20 13:49:12.408000-06:00,2.854,500.0,0.0,,,,
2020-03-20 13:49:18.353000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 13:59:19.486000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 13:59:19.685000-06:00,2.854,500.0,0.0,,,,
2020-03-20 14:09:14.234000-06:00,2.854,9999.0,0.0,,,,
2020-03-20 14:09:17.757000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 14:19:13.364000-06:00,2.851,9999.0,0.0,,,,
2020-03-20 14:19:14.080000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 14:29:15.070000-06:00,2.854,9999.0,0.0,,,,
2020-03-20 14:29:16.956000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 14:39:14.545000-06:00,2.854,500.0,0.0,,,,
2020-03-20 14:39:18.741000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 14:49:16.056000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 14:49:19.494000-06:00,2.854,500.0,0.0,,,,
2020-03-20 14:59:16.950000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 14:59:17.387000-06:00,2.851,500.0,0.0,,,,
2020-03-20 15:09:13.674000-06:00,2.851,500.0,0.0,,,,
2020-03-20 15:09:18.751000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 15:19:13.812000-06:00,2.851,9999.0,0.0,,,,
2020-03-20 15:19:16.097000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 15:29:16.551000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 15:29:16.804000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 15:39:20.113000-06:00,2.851,9999.0,0.0,,,,
2020-03-20 15:49:15.350000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 15:49:17.168000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 15:59:14.824000-06:00,2.851,9999.0,0.0,,,,
2020-03-20 15:59:17.589000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 16:09:14.654000-06:00,2.851,9999.0,0.0,,,,
2020-03-20 16:09:18.091000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 16:19:15.820000-06:00,2.851,500.0,0.0,,,,
2020-03-20 16:19:17.072000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 16:29:12.650000-06:00,2.851,9999.0,0.0,,,,
2020-03-20 16:29:15.072000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 16:39:15.054000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 16:39:15.823000-06:00,2.851,500.0,0.0,,,,
2020-03-20 16:49:15.046000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 16:49:16.195000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 16:59:15.050000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 16:59:15.431000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 17:09:17.966000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 17:09:19.055000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 17:19:12.991000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 17:19:19.063000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 17:29:19.068000-06:00,2.849,500.0,0.0,,,,
2020-03-20 17:29:19.105000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 17:39:18.772000-06:00,2.849,500.0,0.0,,,,
2020-03-20 17:39:18.958000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 17:49:14.142000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 17:49:14.644000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 17:59:14.278000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 17:59:19.426000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 18:09:14.007000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 18:09:15.562000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 18:19:13.899000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 18:19:16.667000-06:00,2.849,500.0,0.0,,,,
2020-03-20 18:29:12.810000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 18:29:14.526000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 18:39:14.407000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 18:39:15.732000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 18:49:16.129000-06:00,2.849,500.0,0.0,,,,
2020-03-20 18:49:19.607000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 18:59:16.263000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 18:59:19.491000-06:00,2.849,9999.0,0.0,,,,
2020-03-20 19:09:15.334000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 19:09:17.694000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 19:19:12.133000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 19:19:17.734000-06:00,,,,2.902,600.0,0.0,7.4
2020-03-20 19:29:16.524000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 19:29:19.476000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 19:39:13.684000-06:00,2.846,9999.0,0.0,,,,
2020-03-20 19:39:19.886000-06:00,,,,2.905,600.0,0.0,7.4
2020-03-20 19:49:16.111000-06:00,2.846,9999.0,0.0,,,,
